Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,number,Income,Revenue,
708367908,Blue,190,0,87,01/01/2023,Week-1,Q1,2023,3022,1627,4390,82,0.538,Chip ,Bills,614.6,1,126,60037,5194.6,
708369633,Gold,250,1,100,01/01/2023,Week-1,Q1,2023,15487,1847,7031,67,0.119,Swipe ,Bills,1054.65,1,127,101602,8335.65,
708371733,Blue,300,1,83,01/01/2023,Week-1,Q1,2023,4662,0,4931,81,0,Swipe ,Fuel,1084.82,1,128,86281,6315.82,
708373083,Blue,175,1,110,01/01/2023,Week-1,Q1,2023,3356,2517,2032,39,0.75,Swipe ,Fuel,467.36,1,129,20495,2674.36,
708375858,Blue,405,0,83,01/01/2023,Week-1,Q1,2023,2776,1341,4318,68,0.483,Swipe ,Grocery,302.26,1,130,57624,5025.26,
708376983,Blue,485,1,149,01/01/2023,Week-1,Q1,2023,8513,799,2119,37,0.094,Swipe ,Food,127.14,1,131,21828,2731.14,
708378108,Blue,245,0,97,01/01/2023,Week-1,Q1,2023,2147,771,4631,76,0.359,Chip ,Bills,787.27,0,132,71834,5663.27,
708382083,Blue,245,1,93,01/01/2023,Week-1,Q1,2023,2292,0,2584,60,0,Swipe ,Bills,335.92,0,133,30259,3164.92,
708384033,Blue,420,1,108,01/01/2023,Week-1,Q1,2023,2745,2463,2466,39,0.897,Swipe ,Food,345.24,0,134,28037,3231.24,
708385533,Silver,335,1,99,01/01/2023,Week-1,Q1,2023,11059,0,9524,80,0,Chip ,Grocery,1523.84,0,135,119059,11382.84,
708386958,Blue,245,1,88,01/01/2023,Week-1,Q1,2023,1561,0,1947,28,0,Swipe ,Bills,175.23,0,136,19006,2367.23,
708387933,Blue,195,0,114,01/01/2023,Week-1,Q1,2023,5500,0,14357,110,0,Swipe ,Bills,1435.7,0,137,165306,15987.7,
708390633,Blue,475,0,81,01/01/2023,Week-1,Q1,2023,2421,2312,4219,69,0.955,Chip ,Bills,295.33,0,138,53965,4989.33,
708393633,Blue,190,0,66,01/01/2023,Week-1,Q1,2023,2685,1647,4625,94,0.613,Chip ,Fuel,370,0,139,71640,5185,
708394908,Blue,365,1,56,01/01/2023,Week-1,Q1,2023,2337,1442,3945,65,0.617,Chip ,Entertainment,276.15,0,140,45818,4586.15,
708396033,Blue,175,0,80,01/01/2023,Week-1,Q1,2023,2490,1059,12257,101,0.425,Swipe ,Bills,3064.25,0,141,119585,15496.25,
708397008,Blue,200,1,70,01/01/2023,Week-1,Q1,2023,3805,821,4326,67,0.216,Swipe ,Food,865.2,0,142,57821,5391.2,
708398283,Blue,125,1,101,01/01/2023,Week-1,Q1,2023,4394,885,1377,32,0.201,Swipe ,Bills,275.4,0,143,12775,1777.4,
708399858,Blue,415,1,68,01/01/2023,Week-1,Q1,2023,2548,2250,4747,77,0.883,Swipe ,Entertainment,712.05,0,144,76565,5874.05,
708402333,Blue,395,1,68,01/01/2023,Week-1,Q1,2023,4549,1313,4782,88,0.289,Chip ,Fuel,1243.32,0,145,78127,6420.32,
708403308,Silver,425,1,99,01/01/2023,Week-1,Q1,2023,15133,1663,4392,68,0.11,Chip ,Bills,570.96,0,146,60111,5387.96,
708404883,Blue,370,0,93,01/01/2023,Week-1,Q1,2023,27804,0,2761,57,0,Chip ,Entertainment,745.47,0,147,32229,3876.47,
708406083,Blue,380,1,111,01/01/2023,Week-1,Q1,2023,3436,2493,5211,90,0.726,Online ,Bills,1094.31,0,148,95876,6685.31,
708412758,Blue,140,1,47,01/01/2023,Week-1,Q1,2023,1457,0,2200,45,0,Chip ,Food,374,0,149,23378,2714,
708414033,Blue,245,0,93,01/01/2023,Week-1,Q1,2023,2845,1153,3730,66,0.405,Swipe ,Fuel,634.1,0,150,41115,4609.1,
708416433,Blue,125,1,73,01/01/2023,Week-1,Q1,2023,2372,0,2499,41,0,Swipe ,Grocery,449.82,0,151,28601,3073.82,
708419733,Blue,365,0,66,01/01/2023,Week-1,Q1,2023,22599,0,4739,55,0,Swipe ,Food,1374.31,0,152,76246,6478.31,
708421833,Blue,390,0,85,01/01/2023,Week-1,Q1,2023,3342,2517,1139,30,0.753,Online ,Bills,193.63,0,153,6550,1722.63,
708423933,Blue,450,1,57,01/01/2023,Week-1,Q1,2023,6103,0,3203,64,0,Swipe ,Bills,288.27,0,154,35491,3941.27,
708426483,Blue,455,0,105,01/01/2023,Week-1,Q1,2023,5816,716,3534,73,0.123,Swipe ,Entertainment,530.1,0,155,38451,4519.1,
708427908,Blue,395,1,100,01/01/2023,Week-1,Q1,2023,2035,1343,4643,86,0.66,Chip ,Fuel,325.01,0,156,72412,5363.01,
708428958,Gold,345,0,110,01/01/2023,Week-1,Q1,2023,34516,0,9179,113,0,Swipe ,Bills,2019.38,0,157,118175,11543.38,
708431433,Blue,225,1,115,01/01/2023,Week-1,Q1,2023,11789,1420,1463,32,0.12,Swipe ,Bills,365.75,0,158,14633,2053.75,
708433683,Blue,125,0,121,01/01/2023,Week-1,Q1,2023,3164,2201,4410,86,0.696,Online ,Entertainment,1146.6,0,159,61002,5681.6,
708434733,Blue,385,0,89,01/01/2023,Week-1,Q1,2023,6735,2289,1249,28,0.34,Swipe ,Grocery,262.29,1,160,10627,1896.29,
708438033,Blue,175,1,78,01/01/2023,Week-1,Q1,2023,3049,2198,2617,48,0.721,Swipe ,Entertainment,575.74,1,161,30828,3367.74,
708442158,Blue,275,0,127,01/01/2023,Week-1,Q1,2023,6182,1516,3801,61,0.245,Chip ,Bills,988.26,1,162,42377,5064.26,
708445608,Blue,490,0,43,01/01/2023,Week-1,Q1,2023,3305,2517,2027,57,0.762,Swipe ,Entertainment,222.97,1,163,20389,2739.97,
708446808,Blue,250,1,87,01/01/2023,Week-1,Q1,2023,2946,1359,2017,48,0.461,Swipe ,Bills,564.76,1,164,20281,2831.76,
708447858,Blue,385,0,92,01/01/2023,Week-1,Q1,2023,3850,0,15107,117,0,Chip ,Entertainment,2417.12,1,165,200276,17909.12,
708450033,Blue,465,1,77,01/01/2023,Week-1,Q1,2023,2605,2269,5298,79,0.871,Swipe ,Fuel,370.86,1,166,97684,6133.86,
708451233,Blue,410,1,83,01/01/2023,Week-1,Q1,2023,5090,1650,3707,72,0.324,Swipe ,Fuel,593.12,1,167,40785,4710.12,
708453408,Blue,355,0,93,01/01/2023,Week-1,Q1,2023,16050,0,3721,62,0,Swipe ,Bills,893.04,1,168,41039,4969.04,
708455883,Blue,175,1,44,01/01/2023,Week-1,Q1,2023,10244,861,1127,29,0.084,Swipe ,Bills,202.86,0,169,6550,1504.86,
708459633,Blue,380,1,92,01/01/2023,Week-1,Q1,2023,5815,1698,1604,42,0.292,Swipe ,Entertainment,352.88,0,170,14975,2336.88,
708462258,Silver,270,1,83,01/01/2023,Week-1,Q1,2023,5189,1171,16563,94,0.226,Chip ,Travel,1821.93,0,171,235349,18654.93,
708469533,Blue,250,1,66,01/01/2023,Week-1,Q1,2023,5395,1439,3523,79,0.267,Chip ,Fuel,493.22,0,172,38273,4266.22,
708472008,Blue,325,0,105,01/01/2023,Week-1,Q1,2023,6680,1839,7632,95,0.275,Swipe ,Bills,1984.32,0,173,105522,9941.32,
708473133,Blue,150,1,111,01/01/2023,Week-1,Q1,2023,1677,0,4588,68,0,Chip ,Fuel,1284.64,0,174,69787,6022.64,
708474333,Blue,465,0,89,01/01/2023,Week-1,Q1,2023,12294,2517,7906,87,0.205,Online ,Bills,790.6,0,175,108894,9161.6,
708476808,Blue,320,0,124,01/01/2023,Week-1,Q1,2023,33791,1960,1047,31,0.058,Swipe ,Bills,188.46,0,176,5525,1555.46,
708478233,Blue,395,1,119,01/01/2023,Week-1,Q1,2023,5573,1238,4348,90,0.222,Swipe ,Fuel,869.6,0,177,58670,5612.6,
708480333,Blue,460,0,95,01/01/2023,Week-1,Q1,2023,2163,932,2229,57,0.431,Swipe ,Bills,534.96,0,178,23891,3223.96,
708482658,Silver,125,1,87,01/01/2023,Week-1,Q1,2023,9959,1946,15594,114,0.195,Chip ,Travel,2495.04,0,179,219668,18214.04,
708483708,Blue,250,0,74,01/01/2023,Week-1,Q1,2023,28600,0,4336,66,0,Swipe ,Travel,1214.08,0,180,58122,5800.08,
708486033,Blue,395,0,83,01/01/2023,Week-1,Q1,2023,16547,1521,1782,48,0.092,Swipe ,Entertainment,267.3,0,181,15671,2444.3,
708488208,Blue,125,0,161,01/01/2023,Week-1,Q1,2023,2515,1922,2231,58,0.764,Swipe ,Bills,267.72,0,182,23898,2623.72,
708489258,Blue,250,1,84,01/01/2023,Week-1,Q1,2023,1438.3,988,3561,72,0.687,Chip ,Bills,249.27,0,183,38817,4060.27,
708491508,Blue,465,0,116,01/01/2023,Week-1,Q1,2023,13906,1430,3856,68,0.103,Chip ,Grocery,964,0,184,43716,5285,
